# config  n_knots  n_nodes  x  order  rel_diff
1sg  60  61  2.630268e-03  NNLO  5.118859e-05
1sg  60  61  3.467369e-03  NNLO  7.683707e-05
1sg  60  61  4.570882e-03  NNLO  3.320135e-04
1sg  60  61  6.025596e-03  NNLO  2.074088e-04
1sg  60  61  7.943282e-03  NNLO  3.824137e-04
1sg  60  61  1.047129e-02  NNLO  3.367042e-04
1sg  60  61  1.380384e-02  NNLO  3.467708e-04
1sg  60  61  1.819701e-02  NNLO  3.210036e-04
1sg  60  61  2.398833e-02  NNLO  2.357175e-04
1sg  60  61  3.162278e-02  NNLO  1.690120e-04
1sg  60  61  4.168694e-02  NNLO  1.037450e-05
1sg  60  61  5.495409e-02  NNLO  1.912571e-04
1sg  60  61  7.244360e-02  NNLO  4.596192e-04
1sg  60  61  9.549926e-02  NNLO  7.331247e-04
1sg  60  61  1.258925e-01  NNLO  9.914062e-04
1sg  60  61  1.659587e-01  NNLO  1.036024e-03
1sg  60  61  2.187762e-01  NNLO  5.203787e-04
1sg  60  61  2.884032e-01  NNLO  1.032095e-03
1sg  60  61  3.801894e-01  NNLO  4.652994e-03
1sg  60  61  5.011872e-01  NNLO  7.442361e-03
1sg  60  61  6.606934e-01  NNLO  4.889229e-02
2sg  60  72  2.187762e-04  LO  1.306748e-05
2sg  60  72  2.884032e-04  LO  2.893427e-05
2sg  60  72  3.801894e-04  LO  2.569506e-06
2sg  60  72  5.011872e-04  LO  3.161792e-05
2sg  60  72  6.606934e-04  LO  1.065171e-05
2sg  60  72  8.709636e-04  LO  2.999661e-05
2sg  60  72  1.148154e-03  LO  1.870024e-05
2sg  60  72  1.513561e-03  LO  2.249328e-05
2sg  60  72  1.995262e-03  LO  2.584294e-05
2sg  60  72  2.630268e-03  LO  7.219275e-06
2sg  60  72  3.467369e-03  LO  3.107850e-05
2sg  60  72  4.570882e-03  LO  5.407172e-06
2sg  60  72  6.025596e-03  LO  3.324446e-05
2sg  60  72  7.943282e-03  LO  1.424980e-05
2sg  60  72  1.047129e-02  LO  3.086260e-05
2sg  60  72  1.380384e-02  LO  2.376565e-05
2sg  60  72  1.819701e-02  LO  2.156157e-05
2sg  60  72  2.398833e-02  LO  3.413623e-05
2sg  60  72  3.162278e-02  LO  8.758691e-14
2sg  60  72  4.168694e-02  LO  4.647368e-05
2sg  60  72  5.495409e-02  LO  1.316107e-05
2sg  60  72  7.244360e-02  LO  6.321719e-05
2sg  60  72  9.549926e-02  LO  3.899122e-05
2sg  60  72  1.258925e-01  LO  6.489635e-05
2sg  60  72  1.659587e-01  LO  7.856417e-06
2sg  60  72  2.187762e-01  LO  8.087873e-06
2sg  60  72  2.884032e-01  LO  3.327917e-06
2sg  60  72  3.801894e-01  LO  2.604954e-06
2sg  60  72  5.011872e-01  LO  1.469193e-05
2sg  60  72  6.606934e-01  LO  5.052221e-04
2sg  60  72  2.187762e-04  NLO  6.244955e-06
2sg  60  72  2.884032e-04  NLO  2.469575e-05
2sg  60  72  3.801894e-04  NLO  1.728872e-06
2sg  60  72  5.011872e-04  NLO  3.377103e-05
2sg  60  72  6.606934e-04  NLO  1.747972e-05
2sg  60  72  8.709636e-04  NLO  4.122338e-05
2sg  60  72  1.148154e-03  NLO  3.687590e-05
2sg  60  72  1.513561e-03  NLO  4.662591e-05
2sg  60  72  1.995262e-03  NLO  6.000842e-05
2sg  60  72  2.630268e-03  NLO  5.014555e-05
2sg  60  72  3.467369e-03  NLO  8.639557e-05
2sg  60  72  4.570882e-03  NLO  7.446730e-05
2sg  60  72  6.025596e-03  NLO  1.135531e-04
2sg  60  72  7.943282e-03  NLO  1.109293e-04
2sg  60  72  1.047129e-02  NLO  1.334407e-04
